0, 0 1 2 3 4 5 6;
1, 0 1 2 3 4 5 6 8 7 6 8 6 4 3 2 2 4 2 0 -1 -2 -2 0 0 -2 -4 -5 -6;
2, 0 0 0 0;
3, 0 1 1 2 3 2 1 -1 -1 0 1 0 -1 -3 -3;
4, 0 1 1 2 3 2 1 -1 -1 -1 -3 -1 -3 -3;
5, 0 -2 0 -2 0 0 0 2 0 1;
6, 0 -1 0 1 2 0;
7, 0 -2 0 -2 -3 -1 0 1 -1 -1 -3 -4;
8, 0 -2 -4 -6 -8 -6 -5 -4 -6 -8 -8 -7 -8 -6 -5 -6;
9, 0 0 2 3 4 2 0 2 1 0;
10, 0 -2 0 -2 0 -2 -2 0 1 2 0 -2 0 -1 -2;
11, 0 -2 0;
12, 0 1 2 1 3 1 -1 -3 -3 -1;
13, 0 -2 0 1;
14, 0 0;
15, 0 -2 0;
16, 0 2 3 4 2 2 2 0 1 0 0 1 1 0 0;
17, 0 2 2;
18, 0 2 3 5 4 3 2 3 5;
19, 0 2 0;
20, 0 2 1 -1 -3 -1 -1;
21, 0 2 3 4;
22, 0 2 0 0;
23, 0 -1 -3 -3 -1 -3 -1 -3 -1;
24, 0 2 3 4;
25, 0 -1 0 -1 0 -1 -3 -1;
26, 0 -1 0 2 4 5 4 2 4 2 0 2 4 2 3 2 1 3 5 3 2 3 1;
27, 0 1 3 2 3 2 3 2 4;
28, 0 -1 0 1 1 -1 -1 -2 -1 1 0 -1 -2 0 -2 -1 -2 -1 1 3 1 0 1 -1;
29, 0 0 2 4 2 4 5 6 4;
30, 0 -1 0 1 -1 1 -1 -2 -1 -3;
31, 0 2 1 -1 -3 -1;
32, 0 -1 -1 -2 -3 -2 0 -1 -3 -2 -4 -2 -3 -3 -4 -5 -4 -2 -3 -1 -3 -1 1 -1 1 3 4 2 4 2 0 -1 -2 0;
33, 0 0;
34, 0 0;
35, 0 -1 -2 -2 0 -2 -3 -4 -2 -3 -4 -4 -2 -3 -4 -4 -2 -3 -4 -4;
36, 0 0 2 0 -1 -2 0 -1 -2 -2 0 2;
37, 0 2 3 3 4 4 4 3 2 0 2 4 6 4 6 7 6 4 4 5 4 4 3;
38, 0 1 2;
39, 0 -2 -1 -2 0 -1 -2;
40, 0 -1 0 1 -1;
41, 0 2 3 3 4 6 4 3 2 0 2 4 6 4 6 7 6 4;
42, 0 2 4 4 4 5 3 3 4 3 2 1 1;
43, 0 1 2 3 1 1 0 0;
44, 0 -2 -4 -6 -4;
45, 0 0 1 2 0;
46, 0 -1 -2 0 -1 -3 -1 1 1 2 3 1 3 2 1 0 -1 -1;
47, 0 -1 -2 0 -1 -3 -1 1 1 2 3 1 3 2 1 0;
48, 0 2 3 4 3 2 3;
49, 0 -2 0 2;
50, 0 2 0;
51, 0 2 4 3 2 3;
52, 0 -2 -4 -3 -1;
53, 0 -2 -4 -3 -1;
54, 0 2 4 3 2 3;
55, 0 0;
56, 0 0;
57, 0 -1 0 0 1 1;
58, 0 -1 -1 0 0;
59, 0 -1 -1 0 1 2 0;
